ids,CLSZ_0.7,CLID_0.7
ZINC000096014556,152,1
ZINC000096095473,152,1
ZINC000096014521,152,1
ZINC000230026395,152,1
ZINC000230034347,152,1
ZINC000230034399,152,1
ZINC000230026341,152,1
ZINC000230026446,152,1
ZINC000230034377,152,1
ZINC000230034935,152,1
ZINC000008551261,152,1
ZINC000008551095,152,1
ZINC000008551494,152,1
ZINC000008551116,152,1
ZINC000008551493,152,1
ZINC000008551568,152,1
ZINC000008551112,152,1
ZINC000008551218,152,1
ZINC000008551257,152,1
ZINC000195796858,152,1
ZINC000195810618,152,1
ZINC000195842012,152,1
ZINC000195842013,152,1
ZINC000195882733,152,1
ZINC000199624920,152,1
ZINC000199628840,152,1
ZINC000199628966,152,1
ZINC000199629165,152,1
ZINC000199630723,152,1
ZINC000195755499,152,1
ZINC000195755542,152,1
ZINC000195883301,152,1
ZINC000196086499,152,1
ZINC000196105913,152,1
ZINC000197381912,152,1
ZINC000199604898,152,1
ZINC000199605350,152,1
ZINC000199628079,152,1
ZINC000199628899,152,1
ZINC000199629077,152,1
ZINC000199629848,152,1
ZINC000199630776,152,1
ZINC000195448510,152,1
ZINC000195755504,152,1
ZINC000195755548,152,1
ZINC000195883296,152,1
ZINC000196086506,152,1
ZINC000196513291,152,1
ZINC000197688097,152,1
ZINC000199628982,152,1
ZINC000199629186,152,1
ZINC000199630277,152,1
ZINC000195448505,152,1
ZINC000195755502,152,1
ZINC000199604915,152,1
ZINC000199624902,152,1
ZINC000199625031,152,1
ZINC000199628092,152,1
ZINC000199628859,152,1
ZINC000199628918,152,1
ZINC000199629092,152,1
ZINC000199629870,152,1
ZINC000199630742,152,1
ZINC000195445281,152,1
ZINC000195755496,152,1
ZINC000195755509,152,1
ZINC000008551087,152,1
ZINC000008551759,152,1
ZINC000008551747,152,1
ZINC000008551904,152,1
ZINC000008551269,152,1
ZINC000008551192,152,1
ZINC000195445287,152,1
ZINC000096014541,152,1
ZINC000096061868,152,1
ZINC000008551971,152,1
ZINC000008551196,152,1
ZINC000195756684,152,1
ZINC000195756679,152,1
ZINC000195756677,152,1
ZINC000195756681,152,1
ZINC000008551209,152,1
ZINC000008216706,152,1
ZINC000008551764,152,1
ZINC000008219729,152,1
ZINC000008216701,152,1
ZINC000008551748,152,1
ZINC000008216708,152,1
ZINC000008216374,152,1
ZINC000008219724,152,1
ZINC000230051742,152,1
ZINC000096014532,152,1
ZINC000096014536,152,1
ZINC000096014540,152,1
ZINC000096014546,152,1
ZINC000096014554,152,1
ZINC000096014569,152,1
ZINC000096068398,152,1
ZINC000096014518,152,1
ZINC000096014522,152,1
ZINC000096014534,152,1
ZINC000096014538,152,1
ZINC000096014542,152,1
ZINC000096014548,152,1
ZINC000096014559,152,1
ZINC000096014567,152,1
ZINC000096077635,152,1
ZINC000096085221,152,1
ZINC000096095622,152,1
ZINC000096077650,152,1
ZINC000096077667,152,1
ZINC000096085218,152,1
ZINC000096095484,152,1
ZINC000096014519,152,1
ZINC000096014531,152,1
ZINC000096014535,152,1
ZINC000096014539,152,1
ZINC000096014547,152,1
ZINC000096014555,152,1
ZINC000096014568,152,1
ZINC000096068397,152,1
ZINC000096014517,152,1
ZINC000096014533,152,1
ZINC000096014537,152,1
ZINC000096014545,152,1
ZINC000096014558,152,1
ZINC000096014570,152,1
ZINC000197688160,152,1
ZINC000008551219,152,1
ZINC000008551256,152,1
ZINC000008551265,152,1
ZINC000008551445,152,1
ZINC000008551513,152,1
ZINC000008551530,152,1
ZINC000008551567,152,1
ZINC000008551531,152,1
ZINC000008551512,152,1
ZINC000008551586,152,1
ZINC000008551264,152,1
ZINC000008551119,152,1
ZINC000008551184,152,1
ZINC000008551120,152,1
ZINC000008551587,152,1
ZINC000008551763,152,1
ZINC000169685622,152,1
ZINC000169622497,152,1
ZINC000169622455,152,1
ZINC000169622500,152,1
ZINC000008216371,152,1
ZINC000008551760,152,1
ZINC000008216703,152,1
ZINC000008215552,152,1
